name,baseCurrency,quoteCurrency,type,bid,change1h
NOK/USD,NOK,USD,spot,4.983,0.0
NVDA/USD,NVDA,USD,spot,195.65,0.0015357051446122344
OKB/USD,OKB,USD,spot,19.054,0.011165035669769539
OMG/USD,OMG,USD,spot,3.8695,0.028833377624235983
ORBS/USD,ORBS,USD,spot,0.0679,0.0029542097488921715
OXY/USD,OXY,USD,spot,0.1906,0.0010460251046025104
OXY/USDT,OXY,USDT,spot,0.1904,0.006269592476489028
PAXG/USD,PAXG,USD,spot,1868.8,0.0006961178045515395
PAXG/USDT,PAXG,USDT,spot,1867.6,0.000749665327978581
PENN/USD,PENN,USD,spot,37.64,-0.0007926023778071334
PEOPLE/USD,PEOPLE,USD,spot,0.03731,0.022428884026258207
PERP/USD,PERP,USD,spot,3.214,0.008466603951081843
PFE/USD,PFE,USD,spot,48.32,0.001450777202072539
POLIS/USD,POLIS,USD,spot,1.17205,0.005866483963516465
PORT/USD,PORT,USD,spot,0.4455,0.006779661016949152
PRISM/USD,PRISM,USD,spot,0.0116,0.0
PROM/USD,PROM,USD,spot,8.24,0.00425531914893617
PSG/USD,PSG,USD,spot,9.5375,0.026358257127487898
PSY/USD,PSY,USD,spot,0.0724,0.0027624309392265192
PTU/USD,PTU,USD,spot,0.93425,-0.0026680896478121665
PUNDIX/USD,PUNDIX,USD,spot,0.7815,0.009664948453608248
PYPL/USD,PYPL,USD,spot,91.275,0.0008223684210526315
QI/USD,QI,USD,spot,0.03122,0.012940795858945324
RAMP/USD,RAMP,USD,spot,0.0718,0.015558698727015558
RAY/USD,RAY,USD,spot,2.1853,0.013209121245828698
REAL/USD,REAL,USD,spot,3.6575,0.032462949894142556
REEF/USD,REEF,USD,spot,0.007325,0.01731301939058172
REN/USD,REN,USD,spot,0.2751,0.010628550485614806
RNDR/USD,RNDR,USD,spot,1.6625,0.04450015669069257
ROOK/USD,ROOK,USD,spot,99.15,0.10949720670391061
ROOK/USDT,ROOK,USDT,spot,98.55,0.1122334455667789
RSR/USD,RSR,USD,spot,0.008825,0.022595596755504054
RUNE/USD,RUNE,USD,spot,6.3515,0.022771161892500804
RUNE/USDT,RUNE,USDT,spot,6.35,0.024068260484585043
SAND/USD,SAND,USD,spot,2.11345,0.010615660490137478
SECO/USD,SECO,USD,spot,8.2894,0.012320103337760934
SHIB/USD,SHIB,USD,spot,2.07e-05,0.00975609756097561
SKL/USD,SKL,USD,spot,0.1468,0.030747728860936407
SLND/USD,SLND,USD,spot,1.895,0.0
SLP/USD,SLP,USD,spot,0.012625,0.012024048096192385
SLRS/USD,SLRS,USD,spot,0.11633,0.004788780571233111
SLV/USD,SLV,USD,spot,20.875,0.0
SNX/USD,SNX,USD,spot,4.7655,0.0377379010331702
SNY/USD,SNY,USD,spot,0.4427,0.0
SOL/BTC,SOL,BTC,spot,0.00227275,0.004308440123729562
SOL/JPY,SOL,JPY,spot,11447.95,0.008166288279751514
SOL/USD,SOL,USD,spot,87.9975,0.010534473850393248
SOL/USDT,SOL,USDT,spot,87.9425,0.010216380646272168
SOS/USD,SOS,USD,spot,6.8e-07,0.029411764705882353
SPA/USD,SPA,USD,spot,0.16385,0.2010948905109489
SPELL/USD,SPELL,USD,spot,0.0031225,0.018744906275468622
SPY/USD,SPY,USD,spot,414.03,-0.0005783829377033377
SQ/USD,SQ,USD,spot,105.575,-0.00023674242424242425
SRM/USD,SRM,USD,spot,1.878,0.02622950819672131
SRM/USDT,SRM,USDT,spot,1.878,0.02733734281027884
STARS/USD,STARS,USD,spot,0.26145,-0.00019076688286913393
STEP/USD,STEP,USD,spot,0.086,0.0
STETH/USD,STETH,USD,spot,2868.5,0.01143560872624912
STG/USD,STG,USD,spot,0.9295,0.0035002692514808833
STMX/USD,STMX,USD,spot,0.01409,0.019891500904159132
STORJ/USD,STORJ,USD,spot,0.8875,0.018327605956471937
STSOL/USD,STSOL,USD,spot,91.0,0.01136678680343776
SUN/USD,SUN,USD,spot,0.0118735,0.019453589294112617
SUSHI/BTC,SUSHI,BTC,spot,6.154e-05,0.015301085883514315
SUSHI/USD,SUSHI,USD,spot,2.3846,0.018318459370596524
SUSHI/USDT,SUSHI,USDT,spot,2.3837,0.019471369400913787
SXP/BTC,SXP,BTC,spot,2.619e-05,0.0003803727653100038
SXP/USD,SXP,USD,spot,1.0145,0.0049504950495049506
SXP/USDT,SXP,USDT,spot,1.014,0.004446640316205534
TLM/USD,TLM,USD,spot,0.0754,0.012080536912751677
TLRY/USD,TLRY,USD,spot,5.176,-0.00019238168526356292
TOMO/USD,TOMO,USD,spot,1.184,0.01700505439904052
TOMO/USDT,TOMO,USDT,spot,1.1827,0.014627032127997255
TONCOIN/USD,TONCOIN,USD,spot,1.869,0.005918751681463546
TRU/USD,TRU,USD,spot,0.172425,0.01617409204528746
TRU/USDT,TRU,USDT,spot,0.172275,0.015173836181496758
TRX/BTC,TRX,BTC,spot,1.74e-06,0.005780346820809248
TRX/USD,TRX,USD,spot,0.067695,0.016517756588332457
TRX/USDT,TRX,USDT,spot,0.0676875,0.016209523094818205
TRYB/USD,TRYB,USD,spot,0.06569,0.0028998778998779
TSLA/BTC,TSLA,BTC,spot,0.023425,-0.0031914893617021275
TSLA/DOGE,TSLA,DOGE,spot,6881.0,-0.00028914269191846175
TSLA/USD,TSLA,USD,spot,908.05,0.0069190745045942656
TSM/USD,TSM,USD,spot,93.4,0.0
