name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
MID-0624,True,False,0.1,0.001,0.001,2240.9,2237.7,2240.9,2240.9,future,,False,,MID,False,False,500.0,-0.00044605022525536376,-0.018010517090271693,4.4626918957515175e-05,115212.7599,115212.7599,2301.8,2187.2,
MINA-PERP,True,False,0.00025,1.0,1.0,1.81475,1.81325,1.8155,1.81475,future,,False,,MINA,False,False,500.0,-0.0024735467912601347,0.004288876591034865,0.0,6209432.5565,6209432.5565,1.931,1.72025,
MKR-PERP,True,False,0.5,0.001,0.001,1490.5,1490.5,1491.0,1490.5,future,,False,,MKR,False,False,500.0,-0.0006704659738518271,0.023695054945054944,0.000671366230278617,4631088.0215,4631088.0215,1501.0,1408.0,
MKR/USD,True,False,0.5,0.001,0.001,1489.0,1489.0,1491.0,1489.0,spot,MKR,False,USD,,False,True,500.0,0.0006720430107526882,0.022664835164835164,0.0,180775.315,180775.315,1499.0,1410.0,
MKR/USDT,True,False,0.5,0.001,0.001,1480.5,1488.0,1492.0,1488.0,spot,MKR,False,USDT,,False,True,500.0,0.00202020202020202,0.024088093599449415,0.0010090817356205853,2911.007,2910.701344265,1497.5,1412.0,
MNGO-PERP,True,False,2.5e-05,10.0,10.0,0.112375,0.112375,0.1124,0.112375,future,,False,,MNGO,False,False,500.0,-0.00044474093840338,-0.015765272607838846,0.0,252190.73475,252190.73475,0.1168,0.11075,
MNGO/USD,True,False,2.5e-05,10.0,10.0,0.11235,0.112325,0.11255,0.11235,spot,MNGO,False,USD,,False,True,500.0,-0.00066711140760507,-0.01576872536136662,-0.00044483985765124553,169159.442,169159.442,0.1159,0.11105,
MOB-PERP,True,False,0.0005,0.1,0.1,3.657,3.656,3.6685,3.657,future,,False,,MOB,False,False,500.0,-0.001365374112506827,-0.10739565535757871,0.0,2613603.153,2613603.153,4.207,3.5065,
MOB/USD,True,False,0.0005,0.5,0.5,3.657,3.657,3.6585,3.657,spot,MOB,False,USD,,False,True,500.0,-0.0004100041000410004,-0.10880955282076277,0.0,1030594.278,1030594.278,4.2,3.5125,
MOB/USDT,True,False,0.0005,0.5,0.5,3.671,3.654,3.6645,3.6645,spot,MOB,False,USDT,,False,True,500.0,0.0013663068725235689,-0.10512820512820513,0.0,587712.986,587651.27613647,4.193,3.509,
MRNA-0624,True,False,0.01,0.01,0.01,141.86,142.08,142.58,142.08,future,,False,,MRNA,True,False,500.0,0.0015508247568024813,0.05369326609314743,0.0,2378.3693,2378.3693,146.13,134.44,True
MRNA/USD,True,False,0.025,0.005,0.005,138.4,142.1,142.525,142.1,spot,MRNA,False,USD,,True,True,500.0,0.0017624250969333803,0.051229887183280934,0.00035198873636043646,138.05625,138.05625,146.075,134.375,True
MSOL/USD,True,False,0.025,0.01,0.01,91.15,91.175,91.375,91.175,spot,MSOL,False,USD,,False,True,500.0,-0.0027344818156959257,-0.02772593974940016,0.0,341787.606,341787.606,94.525,88.825,
MSTR-0624,True,False,0.025,0.005,0.005,365.5,365.125,366.625,365.5,future,,False,,MSTR,True,False,500.0,0.0,0.0258929197951021,0.0,106231.644375,106231.644375,369.85,344.75,True
MSTR/USD,True,False,0.25,0.005,0.005,361.5,364.75,366.5,364.75,spot,MSTR,False,USD,,True,True,500.0,0.005513439007580979,0.023859649122807018,0.0,4322.67,4322.67,369.5,345.25,True
MTA-PERP,True,False,0.0005,1.0,1.0,0.3315,0.3305,0.331,0.331,future,,False,,MTA,False,False,500.0,0.004552352048558422,-0.036390101892285295,0.0,57900.0095,57900.0095,0.35,0.3195,
MTA/USD,True,False,0.0005,1.0,1.0,0.3295,0.3305,0.333,0.3305,spot,MTA,False,USD,,False,True,500.0,0.0030349013657056147,-0.03924418604651163,0.0,20255.231,20255.231,0.3515,0.321,
MTA/USDT,True,False,0.0005,1.0,1.0,0.3265,0.329,0.336,0.329,spot,MTA,False,USDT,,False,True,500.0,0.007656967840735069,-0.03235294117647059,0.0,1468.17,1468.01584215,0.3445,0.3265,
MTL-PERP,True,False,0.0005,0.1,0.1,2.05,2.05,2.0505,2.05,future,,False,,MTL,False,False,500.0,0.0019550342130987292,-0.01843428297821403,-0.0014612761811982464,19841070.87145,19841070.87145,2.2345,1.962,
MTL/USD,True,False,0.0005,0.1,0.1,2.059,2.048,2.056,2.056,spot,MTL,False,USD,,False,True,500.0,0.005870841487279843,-0.013435700575815739,0.005133219261794182,205664.7984,205664.7984,2.2955,1.9675,
MVDA10-PERP,True,False,2.5,0.0001,0.0001,20585.0,20595.0,20605.0,20595.0,future,,False,,MVDA10,False,False,500.0,-0.002059357964869776,-0.000485319097306479,0.00036429872495446266,1467122.809,1467122.809,20852.5,20182.5,
MVDA25-PERP,True,False,2.5,0.0001,0.0001,16450.0,16460.0,16465.0,16460.0,future,,False,,MVDA25,False,False,500.0,-0.0012135922330097086,-0.0073873058947685815,0.0010643150372510264,288699.09,288699.09,16790.0,16067.5,
NEAR-PERP,True,False,0.001,0.1,0.1,11.888,11.88,11.883,11.883,future,,False,,NEAR,False,False,5000.0,0.009086277173913044,-0.0034384434753438444,-0.002601980862850428,244833474.9937,244833474.9937,12.187,11.083,
NEAR/USD,True,False,0.001,0.1,0.1,11.895,11.891,11.906,11.895,spot,NEAR,False,USD,,False,True,5000.0,0.009762308998302207,-0.004019090680733484,-0.001091703056768559,3688491.8051,3688491.8051,12.192,11.067,
NEAR/USDT,True,False,0.001,0.1,0.1,11.903,11.895,11.907,11.903,spot,NEAR,False,USDT,,False,True,5000.0,0.011299915038232796,-0.002931814374267046,0.0,971671.435,971569.409499325,12.188,11.105,
NEO-PERP,True,False,0.0025,0.1,0.1,17.595,17.5925,17.595,17.595,future,,False,,NEO,False,False,500.0,0.00014210601108426886,-0.009708737864077669,0.00042643923240938164,2686731.10325,2686731.10325,18.0375,16.8725,
NEXO/USD,True,False,0.00025,1.0,1.0,2.206,2.20375,2.2075,2.206,spot,NEXO,False,USD,,False,True,500.0,-0.0055223712385889774,-0.01616679674434162,0.0,275234.33975,275234.33975,2.3405,2.133,
NFLX-0624,True,False,0.01,0.01,0.01,199.75,199.01,199.72,199.72,future,,False,,NFLX,True,False,500.0,-0.00015018773466833542,0.038423542869027195,0.0001502328609344484,261640.4297,261640.4297,200.75,190.31,True
NFLX/USD,True,False,0.01,0.01,0.01,199.84,198.91,199.45,199.45,spot,NFLX,False,USD,,True,True,500.0,-0.0019515612489991994,0.03712755446934637,0.0,267922.7142,267922.7142,200.67,191.0,True
NIO-0624,True,False,0.005,0.05,0.05,17.37,17.495,17.535,17.495,future,,False,,NIO,True,False,500.0,0.002866150759529951,0.034900916888494525,0.0002858776443682104,13549.94775,13549.94775,17.53,16.29,True
NIO/USD,True,False,0.05,0.005,0.005,17.5,17.45,17.55,17.5,spot,NIO,False,USD,,True,True,500.0,0.0,0.032448377581120944,0.0,247619.7075,247619.7075,17.5,16.3,True
NOK-0624,True,False,0.0005,0.1,0.1,5.115,5.1145,5.135,5.115,future,,False,,NOK,True,False,500.0,0.0,0.019330410522120367,0.0,151.12485,151.12485,5.1355,4.9085,True
NOK/USD,True,False,0.0005,0.1,0.1,5.2815,4.983,5.2815,5.2815,spot,NOK,False,USD,,True,True,500.0,0.019004437584410575,0.019004437584410575,0.0,3.1689,3.1689,5.2815,4.9735,True
NVDA-0624,True,False,0.05,0.0025,0.0025,195.65,195.3,196.15,195.65,future,,False,,NVDA,True,False,500.0,0.0,0.0470966015520471,0.0,13762.509,13762.509,195.85,183.3,True
NVDA/USD,True,False,0.05,0.0025,0.0025,195.55,195.3,195.6,195.55,spot,NVDA,False,USD,,True,True,500.0,0.0,0.04404698344901228,0.0,11080.627875,11080.627875,195.8,183.75,True
OKB-PERP,True,False,0.0005,0.01,0.01,18.895,18.8905,18.933,18.895,future,,False,,OKB,False,False,500.0,-0.003454550249202289,0.03446387999233528,0.0007679881359074177,3427668.80622,3427668.80622,19.3975,18.055,
OKB-0624,True,False,0.0005,0.01,0.01,18.8175,18.742,18.7985,18.7985,future,,False,,OKB,False,False,500.0,-0.001009698419024844,0.04227655799512087,0.0015984228894157764,76778.42706,76778.42706,19.154,17.813,
OKB/USD,True,False,0.0005,0.1,0.1,18.8845,18.9065,18.9335,18.9065,spot,OKB,False,USD,,False,True,500.0,-0.0009511479827736532,0.034668636786515626,0.0011649765680849375,202203.838,202203.838,19.4045,18.086,
OMG-PERP,True,False,0.0005,0.1,0.1,3.8545,3.853,3.856,3.8545,future,,False,,OMG,False,False,1000.0,0.00587160751565762,-0.0016835016835016834,0.0,5570547.8467,5570547.8467,3.9095,3.642,
